Date,Number
2008-01-01,142.85714285714286
2008-01-08,145.71428571428572
2008-01-15,152.14285714285714
2008-01-22,156.0
2008-01-29,150.71428571428572
2008-02-05,134.85714285714286
2008-02-12,129.0
2008-02-19,155.14285714285714
2008-02-26,141.85714285714286
2008-03-04,156.42857142857142
2008-03-11,145.85714285714286
2008-03-18,130.71428571428572
2008-03-25,146.57142857142858
2008-04-01,140.42857142857142
2008-04-08,143.28571428571428
2008-04-15,147.14285714285714
2008-04-22,140.85714285714286
2008-04-29,136.28571428571428
2008-05-06,126.71428571428571
2008-05-13,131.57142857142858
2008-05-20,135.57142857142858
2008-05-27,126.14285714285714
2008-06-03,122.14285714285714
2008-06-10,135.42857142857142
2008-06-17,135.57142857142858
2008-06-24,141.14285714285714
2008-07-01,124.57142857142857
2008-07-08,124.0
2008-07-15,123.42857142857143
2008-07-22,112.71428571428571
2008-07-29,117.0
2008-08-05,127.0
2008-08-12,132.57142857142858
2008-08-19,141.28571428571428
2008-08-26,132.85714285714286
2008-09-02,119.42857142857143
2008-09-09,120.85714285714286
2008-09-16,120.28571428571429
2008-09-23,133.57142857142858
2008-09-30,131.42857142857142
2008-10-07,155.42857142857142
2008-10-14,136.42857142857142
2008-10-21,132.57142857142858
2008-10-28,144.71428571428572
2008-11-04,134.28571428571428
2008-11-11,132.28571428571428
2008-11-18,138.28571428571428
2008-11-25,143.71428571428572
2008-12-02,155.28571428571428
2008-12-09,138.14285714285714
2008-12-16,161.0
2008-12-23,152.14285714285714
2008-12-30,156.42857142857142
2009-01-06,162.0
2009-01-13,166.42857142857142
2009-01-20,171.85714285714286
2009-01-27,169.28571428571428
2009-02-03,172.71428571428572
2009-02-10,157.28571428571428
2009-02-17,166.0
2009-02-24,163.0
2009-03-03,164.57142857142858
2009-03-10,163.14285714285714
2009-03-17,157.57142857142858
2009-03-24,158.28571428571428
2009-03-31,154.85714285714286
2009-04-07,150.14285714285714
2009-04-14,154.42857142857142
2009-04-21,141.85714285714286
2009-04-28,149.0
2009-05-05,143.0
2009-05-12,159.71428571428572
2009-05-19,129.85714285714286
2009-05-26,142.57142857142858
2009-06-02,140.14285714285714
2009-06-09,135.57142857142858
2009-06-16,132.57142857142858
2009-06-23,138.57142857142858
2009-06-30,129.85714285714286
2009-07-07,145.85714285714286
2009-07-14,134.71428571428572
2009-07-21,137.0
2009-07-28,124.85714285714286
2009-08-04,129.42857142857142
2009-08-11,131.85714285714286
2009-08-18,128.14285714285714
2009-08-25,136.85714285714286
2009-09-01,126.57142857142857
2009-09-08,137.85714285714286
2009-09-15,123.57142857142857
2009-09-22,129.14285714285714
2009-09-29,135.71428571428572
2009-10-06,137.0
2009-10-13,144.57142857142858
2009-10-20,145.42857142857142
2009-10-27,138.85714285714286
2009-11-03,150.71428571428572
2009-11-10,150.57142857142858
2009-11-17,163.85714285714286
2009-11-24,159.14285714285714
2009-12-01,160.28571428571428
2009-12-08,153.85714285714286
2009-12-15,159.14285714285714
2009-12-22,154.71428571428572
2009-12-29,152.42857142857142
2010-01-05,154.42857142857142
2010-01-12,142.71428571428572
2010-01-19,163.42857142857142
2010-01-26,172.57142857142858
2010-02-02,163.28571428571428
2010-02-09,164.57142857142858
2010-02-16,148.28571428571428
2010-02-23,150.625
2010-03-02,155.125
2010-03-09,147.42857142857142
2010-03-16,155.71428571428572
2010-03-23,164.28571428571428
2010-03-30,147.28571428571428
2010-04-06,151.71428571428572
2010-04-13,145.57142857142858
2010-04-20,145.42857142857142
2010-04-27,149.85714285714286
2010-05-04,148.14285714285714
2010-05-11,148.42857142857142
2010-05-18,142.57142857142858
2010-05-25,149.85714285714286
2010-06-01,149.71428571428572
2010-06-08,136.71428571428572
2010-06-15,149.0
2010-06-22,132.85714285714286
2010-06-29,127.42857142857143
2010-07-06,136.85714285714286
2010-07-13,143.42857142857142
2010-07-20,160.57142857142858
2010-07-27,157.14285714285714
2010-08-03,158.71428571428572
2010-08-10,188.14285714285714
2010-08-17,175.42857142857142
2010-08-24,130.85714285714286
2010-08-31,140.14285714285714
2010-09-07,137.85714285714286
2010-09-14,133.28571428571428
2010-09-21,139.42857142857142
2010-09-28,139.42857142857142
2010-10-05,148.42857142857142
2010-10-12,151.71428571428572
2010-10-19,144.42857142857142
2010-10-26,149.0
2010-11-02,152.85714285714286
2010-11-09,161.14285714285714
2010-11-16,149.42857142857142
2010-11-23,166.28571428571428
2010-11-30,149.85714285714286
2010-12-07,154.42857142857142
2010-12-14,162.42857142857142
2010-12-21,163.14285714285714
2010-12-28,157.42857142857142
2011-01-04,157.57142857142858
2011-01-11,161.14285714285714
2011-01-18,170.28571428571428
2011-01-25,177.71428571428572
2011-02-01,187.42857142857142
2011-02-08,196.71428571428572
2011-02-15,182.0
2011-02-22,183.85714285714286
2011-03-01,175.85714285714286
2011-03-08,174.0
2011-03-15,169.14285714285714
2011-03-22,163.85714285714286
2011-03-29,149.71428571428572
2011-04-05,151.42857142857142
2011-04-12,154.57142857142858
2011-04-19,155.71428571428572
2011-04-26,156.14285714285714
2011-05-03,149.85714285714286
2011-05-10,150.57142857142858
2011-05-17,153.0
2011-05-24,147.42857142857142
2011-05-31,147.14285714285714
2011-06-07,153.42857142857142
2011-06-14,140.57142857142858
2011-06-21,145.28571428571428
2011-06-28,149.14285714285714
2011-07-05,152.14285714285714
2011-07-12,165.42857142857142
2011-07-19,161.28571428571428
2011-07-26,152.42857142857142
2011-08-02,137.85714285714286
2011-08-09,132.14285714285714
2011-08-16,140.14285714285714
2011-08-23,143.28571428571428
